marka,seri,model,baslik,yil,km,fiyat,il_ilce,image_path
Ford,Tourneo Courier Journey,1.5L Tdci 100Ps Journey Trend Eu6.2,FORD-TOURNEO COURIER JOURNEY-1.5L TDCI 100PS JOURNEY TREND EU6.2,2020,94616,755000,İstanbul,data/processed_images/otokoc_car_20250130_141230_page_45_idx_13.jpg
Citroen,C,Elysee-Shine 1.5 Bluehdi 100Hp Eu6.2,CITROEN-C-ELYSEE-SHINE 1.5 BLUEHDI 100HP EU6.2,2020,110049,670000,Antalya,data/processed_images/otokoc_car_20250130_141230_page_45_idx_14.jpg
Citroen,C,Elysee-Shine 1.5 Bluehdi 100Hp Eu6.2,CITROEN-C-ELYSEE-SHINE 1.5 BLUEHDI 100HP EU6.2,2020,150985,675000,Antalya,data/processed_images/otokoc_car_20250130_141257_page_46_idx_0.jpg
Ford,Tourneo Courier Journey,1.5L Tdci 100Ps Journey Trend Eu6.2,FORD-TOURNEO COURIER JOURNEY-1.5L TDCI 100PS JOURNEY TREND EU6.2,2020,139662,670000,İzmir,data/processed_images/otokoc_car_20250130_141257_page_46_idx_1.jpg
Ford,Tourneo Courier Journey,1.5L Tdci 100Ps Journey Titanium Eu6.2,FORD-TOURNEO COURIER JOURNEY-1.5L TDCI 100PS JOURNEY TITANIUM EU6.2,2020,154281,700000,Eskişehir,data/processed_images/otokoc_car_20250130_141257_page_46_idx_2.jpg
Ford,Tourneo Courier Journey,1.5L Tdci 100Ps Journey Trend Eu6.2,FORD-TOURNEO COURIER JOURNEY-1.5L TDCI 100PS JOURNEY TREND EU6.2,2020,140807,705000,İzmir,data/processed_images/otokoc_car_20250130_141257_page_46_idx_3.jpg
Fiat,Egea,1.3 Mjet 95 Hp Eu6D Easy,FIAT-EGEA-1.3 MJET 95 HP EU6D EASY,2021,123791,675000,Samsun,data/processed_images/otokoc_car_20250130_141257_page_46_idx_4.jpg
Fiat,Egea,1.3 Mjet 95 Hp Eu6D Easy,FIAT-EGEA-1.3 MJET 95 HP EU6D EASY,2021,91719,705000,Samsun,data/processed_images/otokoc_car_20250130_141257_page_46_idx_5.jpg
Dacia,Lodgy,Laureate 1.5 Blue Dci 95 Bg 7 Koltuklu,DACIA-LODGY-LAUREATE 1.5 BLUE DCI 95 BG 7 KOLTUKLU,2020,136285,715000,Samsun,data/processed_images/otokoc_car_20250130_141257_page_46_idx_6.jpg
Ford,Tourneo Courier Journey,1.5L Tdci 100Ps Journey Trend Eu6.2,FORD-TOURNEO COURIER JOURNEY-1.5L TDCI 100PS JOURNEY TREND EU6.2,2019,293892,535000,Adana,data/processed_images/otokoc_car_20250130_141300_page_47_idx_0.jpg
Ford,Tourneo Courier Journey,1.5L Tdci 100Ps Journey Trend Eu6.2,FORD-TOURNEO COURIER JOURNEY-1.5L TDCI 100PS JOURNEY TREND EU6.2,2019,240729,590000,Adana,data/processed_images/otokoc_car_20250130_141300_page_47_idx_1.jpg
Ford,Tourneo Courier Journey,1.5L Tdci 95Ps Eu6 Titanium Mca,FORD-TOURNEO COURIER JOURNEY-1.5L TDCI 95PS EU6 TITANIUM MCA,2019,145098,715000,Adana,data/processed_images/otokoc_car_20250130_141300_page_47_idx_2.jpg
Citroen,C,Elysee-Shine 1.5 Bluehdi 100Hp Eu6.2,CITROEN-C-ELYSEE-SHINE 1.5 BLUEHDI 100HP EU6.2,2020,136607,690000,Adana,data/processed_images/otokoc_car_20250130_141300_page_47_idx_3.jpg
Citroen,C,Elysee-Shine 1.5 Bluehdi 100Hp Eu6.2,CITROEN-C-ELYSEE-SHINE 1.5 BLUEHDI 100HP EU6.2,2020,179400,665000,Adana,data/processed_images/otokoc_car_20250130_141300_page_47_idx_4.jpg
Dacia,Duster,Comfort 1.5 Blue Dci 115 Bg 4X4,DACIA-DUSTER-COMFORT 1.5 BLUE DCI 115 BG 4x4,2021,190821,835000,Adana,data/processed_images/otokoc_car_20250130_141300_page_47_idx_5.jpg
Ford,Tourneo Courier Journey,1.5L Tdci 100Ps Journey Trend Eu6.2,FORD-TOURNEO COURIER JOURNEY-1.5L TDCI 100PS JOURNEY TREND EU6.2,2019,204841,630000,Adana,data/processed_images/otokoc_car_20250130_141300_page_47_idx_6.jpg
Dacia,Duster,Comfort 1.5 Blue Dci 115 Bg 4X4,DACIA-DUSTER-COMFORT 1.5 BLUE DCI 115 BG 4x4,2021,131271,935000,Adana,data/processed_images/otokoc_car_20250130_141300_page_47_idx_7.jpg
Dacia,Duster,Comfort 1.5 Blue Dci 115 Bg 4X4,DACIA-DUSTER-COMFORT 1.5 BLUE DCI 115 BG 4x4,2021,180335,950000,Adana,data/processed_images/otokoc_car_20250130_141300_page_47_idx_8.jpg
Ford,Tourneo Courier Journey,1.5L Tdci 100Ps Journey Trend Eu6.2,FORD-TOURNEO COURIER JOURNEY-1.5L TDCI 100PS JOURNEY TREND EU6.2,2020,133929,695000,İzmir,data/processed_images/otokoc_car_20250130_141300_page_47_idx_9.jpg
Ford,Tourneo Courier Journey,1.5L Tdci 100Ps Journey Trend Eu6.2,FORD-TOURNEO COURIER JOURNEY-1.5L TDCI 100PS JOURNEY TREND EU6.2,2020,106687,645000,İzmir,data/processed_images/otokoc_car_20250130_141300_page_47_idx_10.jpg
Ford,Tourneo Courier Journey,1.5L Tdci 100Ps Journey Trend Eu6.2,FORD-TOURNEO COURIER JOURNEY-1.5L TDCI 100PS JOURNEY TREND EU6.2,2020,189893,670000,İzmir,data/processed_images/otokoc_car_20250130_141300_page_47_idx_11.jpg
Ford,Tourneo Courier Journey,1.5L Tdci 100Ps Journey Trend Eu6.2,FORD-TOURNEO COURIER JOURNEY-1.5L TDCI 100PS JOURNEY TREND EU6.2,2020,117596,705000,İzmir,data/processed_images/otokoc_car_20250130_141300_page_47_idx_12.jpg
Ford,Tourneo Courier Journey,1.5L Tdci 100Ps Journey Trend Eu6.2,FORD-TOURNEO COURIER JOURNEY-1.5L TDCI 100PS JOURNEY TREND EU6.2,2020,146927,685000,İzmir,data/processed_images/otokoc_car_20250130_141300_page_47_idx_13.jpg
Ford,Tourneo Courier Journey,1.5L Tdci 100Ps Journey Trend Eu6.2,FORD-TOURNEO COURIER JOURNEY-1.5L TDCI 100PS JOURNEY TREND EU6.2,2019,128813,705000,İzmir,data/processed_images/otokoc_car_20250130_141300_page_47_idx_14.jpg
Ford,Tourneo Courier Journey,1.5L Tdci 100Ps Journey Trend Eu6.2,FORD-TOURNEO COURIER JOURNEY-1.5L TDCI 100PS JOURNEY TREND EU6.2,2020,142107,665000,İzmir,data/processed_images/otokoc_car_20250130_141302_page_48_idx_0.jpg
Dacia,Duster,Comfort 1.5 Blue Dci 115 Bg 4X4,DACIA-DUSTER-COMFORT 1.5 BLUE dCi 115 BG 4x4,2021,106507,1035000,İzmir,data/processed_images/otokoc_car_20250130_141302_page_48_idx_1.jpg
Ford,Tourneo Courier Journey,1.5L Tdci 100Ps Journey Trend Eu6.2,FORD-TOURNEO COURIER JOURNEY-1.5L TDCI 100PS JOURNEY TREND EU6.2,2020,137727,650000,İzmir,data/processed_images/otokoc_car_20250130_141302_page_48_idx_2.jpg
Citroen,C,Elysee-Feel 1.5 Bluehdi 100Hp Eu6.2,CITROEN-C-ELYSEE-FEEL 1.5 BLUEHDI 100HP EU6.2,2021,113949,655000,İzmir,data/processed_images/otokoc_car_20250130_141302_page_48_idx_4.jpg
Citroen,C,Elysee-Feel 1.5 Bluehdi 100Hp Eu6.2,CITROEN-C-ELYSEE-FEEL 1.5 BLUEHDI 100HP EU6.2,2021,117070,625000,İzmir,data/processed_images/otokoc_car_20250130_141302_page_48_idx_5.jpg
Citroen,C,Elysee-Shine 1.5 Bluehdi 100Hp Eu6.2,CITROEN-C-ELYSEE-SHINE 1.5 BLUEHDI 100HP EU6.2,2020,182152,605000,Bursa,data/processed_images/otokoc_car_20250130_141302_page_48_idx_6.jpg
Ford,Tourneo Courier Journey,1.5L Tdci 100Ps Journey Trend Eu6.2,FORD-TOURNEO COURIER JOURNEY-1.5L TDCI 100PS JOURNEY TREND EU6.2,2019,94644,680000,İstanbul,data/processed_images/otokoc_car_20250130_141302_page_48_idx_7.jpg
Ford,Tourneo Courier Journey,1.5L Tdci 100Ps Journey Trend Eu6.2,FORD-TOURNEO COURIER JOURNEY-1.5L TDCI 100PS JOURNEY TREND EU6.2,2020,129348,655000,Bursa,data/processed_images/otokoc_car_20250130_141302_page_48_idx_8.jpg
Ford,Tourneo Courier Journey,1.5L Tdci 100Ps Journey Trend Eu6.2,FORD-TOURNEO COURIER JOURNEY-1.5L TDCI 100PS JOURNEY TREND EU6.2,2020,150941,685000,İstanbul,data/processed_images/otokoc_car_20250130_141302_page_48_idx_9.jpg
Ford,Tourneo Courier Journey,1.5L Tdci 100Ps Journey Trend Eu6.2,FORD-TOURNEO COURIER JOURNEY-1.5L TDCI 100PS JOURNEY TREND EU6.2,2019,243872,590000,Bursa,data/processed_images/otokoc_car_20250130_141302_page_48_idx_10.jpg
Ford,Tourneo Courier Journey,1.5L Tdci 100Ps Journey Trend Eu6.2,FORD-TOURNEO COURIER JOURNEY-1.5L TDCI 100PS JOURNEY TREND EU6.2,2020,146616,685000,İzmir,data/processed_images/otokoc_car_20250130_141302_page_48_idx_11.jpg
Ford,Tourneo Courier Journey,1.5L Tdci 100Ps Journey Trend Eu6.2,FORD-TOURNEO COURIER JOURNEY-1.5L TDCI 100PS JOURNEY TREND EU6.2,2020,189469,655000,İzmir,data/processed_images/otokoc_car_20250130_141302_page_48_idx_12.jpg
Ford,Tourneo Courier Journey,1.5L Tdci 100Ps Journey Trend Eu6.2,FORD-TOURNEO COURIER JOURNEY-1.5L TDCI 100PS JOURNEY TREND EU6.2,2020,120521,685000,İzmir,data/processed_images/otokoc_car_20250130_141302_page_48_idx_13.jpg
Ford,Tourneo Courier Journey,1.5L Tdci 100Ps Journey Trend Eu6.2,FORD-TOURNEO COURIER JOURNEY-1.5L TDCI 100PS JOURNEY TREND EU6.2,2020,84940,630000,İstanbul,data/processed_images/otokoc_car_20250130_141302_page_48_idx_14.jpg
Ford,Tourneo Courier Journey,1.5L Tdci 100Ps Journey Trend Eu6.2,FORD-TOURNEO COURIER JOURNEY-1.5L TDCI 100PS JOURNEY TREND EU6.2,2019,213045,625000,Bursa,data/processed_images/otokoc_car_20250130_141307_page_49_idx_0.jpg
Ford,Focus,1.5L Tdci 120Ps Trend X Auto,FORD-FOCUS-1.5L TDCI 120PS TREND X AUTO,2020,149479,1045000,İzmir,data/processed_images/otokoc_car_20250130_141307_page_49_idx_1.jpg
Citroen,C,Elysee-Shine 1.5 Bluehdi 100Hp Eu6.2,CITROEN-C-ELYSEE-SHINE 1.5 BLUEHDI 100HP EU6.2,2020,117269,635000,Bursa,data/processed_images/otokoc_car_20250130_141307_page_49_idx_2.jpg
Fiat,Egea,1.3 Mjet 95 Hp Eu6D Easy,FIAT-EGEA-1.3 MJET 95 HP EU6D EASY,2021,106716,670000,İstanbul,data/processed_images/otokoc_car_20250130_141307_page_49_idx_3.jpg
Ford,Focus,1.5L Tdci 120Ps Trend X Auto,FORD-FOCUS-1.5L TDCI 120PS TREND X AUTO,2020,166127,960000,İzmir,data/processed_images/otokoc_car_20250130_141307_page_49_idx_4.jpg
Ford,Tourneo Courier Journey,1.5L Tdci 100Ps Journey Trend Eu6.2,FORD-TOURNEO COURIER JOURNEY-1.5L TDCI 100PS JOURNEY TREND EU6.2,2019,189757,600000,Bursa,data/processed_images/otokoc_car_20250130_141307_page_49_idx_5.jpg
Fiat,Ducato,Yeni Van Maxi 2.3 Mj 130 Hp (11.5M3) Eu5,FIAT-DUCATO-Yeni VAN MAXI 2.3 MJ 130 HP (11.5M3) EU5,2013,136090,569900,Ankara,data/processed_images/otokoc_car_20250130_141307_page_49_idx_7.jpg
Ford,Kuga,Titanium 1.5L Ecoboost 182Ps 8İleri̇ At Benzin Eu6.2 (C And D-Temp) Suv İçten Yanmali,FORD-KUGA-TITANIUM 1.5L ECOBOOST 182PS 8İLERİ AT Benzin EU6.2 (C and D-Temp) Suv İÇTEN YANMALI,2023,36884,1600000,Eskişehir,data/processed_images/otokoc_car_20250130_141307_page_49_idx_11.jpg
Seat,Ibiza,1.2 Tsi 90 Hp Reference,SEAT-IBIZA-1.2 TSI 90 HP REFERENCE,2017,110100,685000,Erzurum,data/processed_images/otokoc_car_20250130_141307_page_49_idx_12.jpg
Opel,Astra,1.6I 16V Twinport Hb Classic Comfort,OPEL-ASTRA-1.6I 16V TWINPORT HB CLASSIC COMFORT,2009,173138,440000,Erzurum,data/processed_images/otokoc_car_20250130_141307_page_49_idx_13.jpg
Ford,Tourneo Courier Journey,1.5L Tdci 95Ps Eu6 Titanium Mca,FORD-TOURNEO COURIER JOURNEY-1.5L TDCI 95PS EU6 TITANIUM MCA,2019,132144,790000,Gaziantep,data/processed_images/otokoc_car_20250130_141311_page_50_idx_0.jpg
Ford,Tourneo Courier Journey,1.5L Tdci 100Ps Journey Trend Eu6.2,FORD-TOURNEO COURIER JOURNEY-1.5L TDCI 100PS JOURNEY TREND EU6.2,2020,124665,730000,İstanbul,data/processed_images/otokoc_car_20250130_141311_page_50_idx_2.jpg
Ford,Tourneo Courier Journey,1.5L Tdci 100Ps Journey Trend Eu6.2,FORD-TOURNEO COURIER JOURNEY-1.5L TDCI 100PS JOURNEY TREND EU6.2,2020,119647,735000,İstanbul,data/processed_images/otokoc_car_20250130_141311_page_50_idx_3.jpg
Citroen,C,Elysee-Shine 1.5 Bluehdi 100Hp Eu6.2,CITROEN-C-ELYSEE-SHINE 1.5 BLUEHDI 100HP EU6.2,2020,146652,610000,Antalya,data/processed_images/otokoc_car_20250130_141311_page_50_idx_5.jpg
Citroen,C,Elysee-Shine 1.5 Bluehdi 100Hp Eu6.2,CITROEN-C-ELYSEE-SHINE 1.5 BLUEHDI 100HP EU6.2,2020,69202,660000,Antalya,data/processed_images/otokoc_car_20250130_141311_page_50_idx_6.jpg
Ford,Tourneo Courier Journey,1.5L Tdci 100Ps Journey Trend Eu6.2,FORD-TOURNEO COURIER JOURNEY-1.5L TDCI 100PS JOURNEY TREND EU6.2,2021,141914,695000,Samsun,data/processed_images/otokoc_car_20250130_141311_page_50_idx_7.jpg
Ford,Focus,1.5L Tdci 120Ps Trend X Auto,FORD-FOCUS-1.5L TDCI 120PS TREND X AUTO,2020,139193,1010000,Antalya,data/processed_images/otokoc_car_20250130_141311_page_50_idx_8.jpg
Ford,Tourneo Courier Journey,1.5L Tdci 100Ps Journey Trend Eu6.2,FORD-TOURNEO COURIER JOURNEY-1.5L TDCI 100PS JOURNEY TREND EU6.2,2021,149214,635000,Samsun,data/processed_images/otokoc_car_20250130_141311_page_50_idx_9.jpg
Ford,Focus,1.5L Tdci 120Ps Trend X Auto,FORD-FOCUS-1.5L TDCI 120PS TREND X AUTO,2020,183420,975000,Samsun,data/processed_images/otokoc_car_20250130_141311_page_50_idx_10.jpg
Citroen,C,Elysee-Shine 1.5 Bluehdi 100Hp Eu6.2,CITROEN-C-ELYSEE-SHINE 1.5 BLUEHDI 100HP EU6.2,2020,166048,585000,Antalya,data/processed_images/otokoc_car_20250130_141311_page_50_idx_11.jpg
Ford,Focus,1.5L Tdci 120Ps Trend X Auto,FORD-FOCUS-1.5L TDCI 120PS TREND X AUTO,2020,162674,945000,Bursa,data/processed_images/otokoc_car_20250130_141311_page_50_idx_12.jpg
Ford,Focus,1.5L Tdci 120Ps Trend X Auto,FORD-FOCUS-1.5L TDCI 120PS TREND X AUTO,2020,105685,1025000,Bursa,data/processed_images/otokoc_car_20250130_141311_page_50_idx_13.jpg
Toyota,Corolla,1.8 Hybrid Dream E-Cvt,TOYOTA-COROLLA-1.8 HYBRID DREAM E-CVT,2022,87244,1160000,İstanbul,data/processed_images/otokoc_car_20250130_141311_page_50_idx_14.jpg
Ford,Tourneo Courier Journey,1.5L Tdci 95Ps Eu6 Titanium Mca,FORD-TOURNEO COURIER JOURNEY-1.5L TDCI 95PS EU6 TITANIUM MCA,2019,187185,675000,Eskişehir,data/processed_images/otokoc_car_20250130_141319_page_51_idx_0.jpg
Ford,Tourneo Courier Journey,1.5L Tdci 100Ps Journey Trend Eu6.2,FORD-TOURNEO COURIER JOURNEY-1.5L TDCI 100PS JOURNEY TREND EU6.2,2020,186733,660000,İstanbul,data/processed_images/otokoc_car_20250130_141319_page_51_idx_1.jpg
Ford,Tourneo Courier Journey,1.5L Tdci 100Ps Journey Trend Eu6.2,FORD-TOURNEO COURIER JOURNEY-1.5L TDCI 100PS JOURNEY TREND EU6.2,2019,141413,575000,Bursa,data/processed_images/otokoc_car_20250130_141319_page_51_idx_2.jpg
Ford,Tourneo Courier Journey,1.5L Tdci 100Ps Journey Trend Eu6.2,FORD-TOURNEO COURIER JOURNEY-1.5L TDCI 100PS JOURNEY TREND EU6.2,2021,94011,575000,Samsun,data/processed_images/otokoc_car_20250130_141319_page_51_idx_3.jpg
Ford,Tourneo Courier Journey,1.5L Tdci 100Ps Journey Trend Eu6.2,FORD-TOURNEO COURIER JOURNEY-1.5L TDCI 100PS JOURNEY TREND EU6.2,2019,251973,615000,Bursa,data/processed_images/otokoc_car_20250130_141319_page_51_idx_4.jpg
Ford,Tourneo Courier Journey,1.5L Tdci 100Ps Journey Trend Eu6.2,FORD-TOURNEO COURIER JOURNEY-1.5L TDCI 100PS JOURNEY TREND EU6.2,2021,148280,600000,Samsun,data/processed_images/otokoc_car_20250130_141319_page_51_idx_5.jpg
Mg,Hs,Luxury 1.5 T-Gdi 162 Ps,MG-HS-LUXURY 1.5 T-GDI 162 PS,2024,12553,1485000,Malatya,data/processed_images/otokoc_car_20250130_141319_page_51_idx_9.jpg
Mg,Hs,Luxury 1.5 T-Gdi 162 Ps,MG-HS-LUXURY 1.5 T-GDI 162 PS,2024,14751,1478000,Malatya,data/processed_images/otokoc_car_20250130_141319_page_51_idx_10.jpg
Mg,Hs,Luxury 1.5 T-Gdi 162 Ps,MG-HS-LUXURY 1.5 T-GDI 162 PS,2024,13791,1480000,Malatya,data/processed_images/otokoc_car_20250130_141319_page_51_idx_11.jpg
Audi,A5,Sb 40 Tdi 204 Hp Qtr Str S Line Pi,AUDI-A5-SB 40 TDI 204 HP QTR STR S LINE PI,2021,24720,3299000,Malatya,data/processed_images/otokoc_car_20250130_141319_page_51_idx_12.jpg
Mg,Hs,Luxury 1.5 T-Gdi 162 Ps,MG-HS-LUXURY 1.5 T-GDI 162 PS,2024,13666,1481000,Malatya,data/processed_images/otokoc_car_20250130_141319_page_51_idx_13.jpg
Mg,Hs,Luxury 1.5 T-Gdi 162 Ps,MG-HS-LUXURY 1.5 T-GDI 162 PS,2024,8953,1489000,Malatya,data/processed_images/otokoc_car_20250130_141319_page_51_idx_14.jpg
Volkswagen,Passat,1.5 Tsi Act 150 Ps Business Dsg,VOLKSWAGEN-PASSAT-1.5 TSI ACT 150 PS BUSINESS DSG,2021,109981,1435000,İzmir,data/processed_images/otokoc_car_20250130_141322_page_52_idx_1.jpg
Citroen,C,Elysee-Shine 1.5 Bluehdi 100Hp Eu6.2,CITROEN-C-ELYSEE-SHINE 1.5 BLUEHDI 100HP EU6.2,2020,143246,675000,İzmir,data/processed_images/otokoc_car_20250130_141322_page_52_idx_2.jpg
Citroen,C,Elysee-Feel 1.5 Bluehdi 100Hp Eu6.2,CITROEN-C-ELYSEE-FEEL 1.5 BLUEHDI 100HP EU6.2,2021,87745,695000,Ankara,data/processed_images/otokoc_car_20250130_141322_page_52_idx_3.jpg
Ford,Tourneo Courier Journey,1.5L Tdci 100Ps Journey Titanium Eu6.2,FORD-TOURNEO COURIER JOURNEY-1.5L TDCI 100PS JOURNEY TITANIUM EU6.2,2020,128403,730000,İstanbul,data/processed_images/otokoc_car_20250130_141322_page_52_idx_4.jpg
Audi,A3,Sedan 35 Tfsi 150 Hp Advanced Str,AUDI-A3-SEDAN 35 TFSI 150 HP ADVANCED STR,2022,55983,1770000,İzmir,data/processed_images/otokoc_car_20250130_141322_page_52_idx_5.jpg
Nissan,Qashqai,1.5 Dci 115 Hp Dct Tekna,NISSAN-QASHQAI-1.5 DCI 115 HP DCT TEKNA,2020,87870,1430000,Ankara,data/processed_images/otokoc_car_20250130_141322_page_52_idx_6.jpg
Ford,Tourneo Courier Journey,1.5L Tdci 100Ps Journey Trend Eu6.2,FORD-TOURNEO COURIER JOURNEY-1.5L TDCI 100PS JOURNEY TREND EU6.2,2020,159488,675000,İzmir,data/processed_images/otokoc_car_20250130_141322_page_52_idx_7.jpg
Ford,Tourneo Courier Journey,1.5L Tdci 100Ps Journey Trend Eu6.2,FORD-TOURNEO COURIER JOURNEY-1.5L TDCI 100PS JOURNEY TREND EU6.2,2021,127834,725000,Samsun,data/processed_images/otokoc_car_20250130_141322_page_52_idx_8.jpg
Fiat,Egea,1.3 Mjet 95 Hp Eu6D Easy,FIAT-EGEA-1.3 MJET 95 HP EU6D EASY,2021,105474,710000,Samsun,data/processed_images/otokoc_car_20250130_141322_page_52_idx_9.jpg
Bmw,3 Serisi,1.6 320I A Sport Line,BMW-3 SERISI-1.6 320I A SPORT LINE,2021,121336,2135000,Konya,data/processed_images/otokoc_car_20250130_141322_page_52_idx_10.jpg
Fiat,Egea,1.3 Mjet 95 Hp Eu6D Easy,FIAT-EGEA-1.3 MJET 95 HP EU6D EASY,2021,111368,705000,Samsun,data/processed_images/otokoc_car_20250130_141322_page_52_idx_11.jpg
Ford,Yeni̇ Transit,350L(11M3)2.0 Eb 170Ps Eu6.2 U Trend,FORD-YENİ TRANSIT-350L(11M3)2.0 EB 170PS EU6.2 U TREND,2023,21523,1185000,İstanbul,data/processed_images/otokoc_car_20250130_141322_page_52_idx_12.jpg
Ford,Tourneo Courier Journey,1.5L Tdci 100Ps Journey Trend Eu6.2,FORD-TOURNEO COURIER JOURNEY-1.5L TDCI 100PS JOURNEY TREND EU6.2,2021,118501,665000,Samsun,data/processed_images/otokoc_car_20250130_141322_page_52_idx_13.jpg
Bmw,3 Serisi,1.6 320I A Sport Line,BMW-3 SERISI-1.6 320I A SPORT LINE,2021,66815,2305000,İstanbul,data/processed_images/otokoc_car_20250130_141322_page_52_idx_14.jpg
Citroen,C,Elysee-Shine 1.5 Bluehdi 100Hp Eu6.2,CITROEN-C-ELYSEE-SHINE 1.5 BLUEHDI 100HP EU6.2,2020,137503,690000,İzmir,data/processed_images/otokoc_car_20250130_141349_page_53_idx_4.jpg
Dacia,Duster,Comfort 1.5 Blue Dci 115 Bg 4X4,DACIA-DUSTER-COMFORT 1.5 BLUE dCi 115 BG 4x4,2020,146001,935000,İzmir,data/processed_images/otokoc_car_20250130_141349_page_53_idx_5.jpg
Dacia,Duster,Comfort 1.5 Blue Dci 115 Bg 4X4,DACIA-DUSTER-COMFORT 1.5 BLUE dCi 115 BG 4x4,2021,88942,1050000,İzmir,data/processed_images/otokoc_car_20250130_141349_page_53_idx_6.jpg
Dacia,Duster,Comfort 1.5 Blue Dci 115 Bg 4X4,DACIA-DUSTER-COMFORT 1.5 BLUE dCi 115 BG 4x4,2021,83018,1060000,İzmir,data/processed_images/otokoc_car_20250130_141349_page_53_idx_7.jpg
Citroen,C,Elysee-Feel 1.5 Bluehdi 100Hp Eu6.2,CITROEN-C-ELYSEE-FEEL 1.5 BLUEHDI 100HP EU6.2,2021,75940,710000,İzmir,data/processed_images/otokoc_car_20250130_141349_page_53_idx_8.jpg
Ford,Yeni̇ Transit,350L(11M3)2.0 Eb 170Ps Eu6.2 U Trend,FORD-YENİ TRANSIT-350L(11M3)2.0 EB 170PS EU6.2 U TREND,2023,24802,1220000,İstanbul,data/processed_images/otokoc_car_20250130_141349_page_53_idx_10.jpg
Ford,Tourneo Courier Journey,1.5L Tdci 100Ps Journey Trend Eu6.2,FORD-TOURNEO COURIER JOURNEY-1.5L TDCI 100PS JOURNEY TREND EU6.2,2019,212053,610000,Antalya,data/processed_images/otokoc_car_20250130_141349_page_53_idx_11.jpg
Ford,Focus,1.5L Tdci 120Ps Trend X Auto,FORD-FOCUS-1.5L TDCI 120PS TREND X AUTO,2020,189755,970000,Antalya,data/processed_images/otokoc_car_20250130_141349_page_53_idx_12.jpg
Ford,Tourneo Courier Journey,1.5L Tdci 100Ps Journey Trend Eu6.2,FORD-TOURNEO COURIER JOURNEY-1.5L TDCI 100PS JOURNEY TREND EU6.2,2019,225634,635000,Antalya,data/processed_images/otokoc_car_20250130_141349_page_53_idx_13.jpg
Ford,Tourneo Courier Journey,1.5L Tdci 100Ps Journey Trend Eu6.2,FORD-TOURNEO COURIER JOURNEY-1.5L TDCI 100PS JOURNEY TREND EU6.2,2019,203316,550000,İzmir,data/processed_images/otokoc_car_20250130_141349_page_53_idx_14.jpg
Citroen,C,Elysee-Feel 1.5 Bluehdi 100Hp Eu6.2,CITROEN-C-ELYSEE-FEEL 1.5 BLUEHDI 100HP EU6.2,2021,120733,630000,Adana,data/processed_images/otokoc_car_20250130_141352_page_54_idx_0.jpg
Ford,Tourneo Courier Journey,1.5L Tdci 100Ps Journey Trend Eu6.2,FORD-TOURNEO COURIER JOURNEY-1.5L TDCI 100PS JOURNEY TREND EU6.2,2020,209007,570000,İzmir,data/processed_images/otokoc_car_20250130_141352_page_54_idx_1.jpg
Ford,Tourneo Courier Journey,1.5L Tdci 100Ps Journey Trend Eu6.2,FORD-TOURNEO COURIER JOURNEY-1.5L TDCI 100PS JOURNEY TREND EU6.2,2020,161667,620000,İzmir,data/processed_images/otokoc_car_20250130_141352_page_54_idx_2.jpg
Ford,Tourneo Courier Journey,1.5L Tdci 100Ps Journey Titanium Eu6.2,FORD-TOURNEO COURIER JOURNEY-1.5L TDCI 100PS JOURNEY TITANIUM EU6.2,2019,139834,705000,İstanbul,data/processed_images/otokoc_car_20250130_141352_page_54_idx_3.jpg
Ford,Tourneo Courier Journey,1.5L Tdci 100Ps Journey Trend Eu6.2,FORD-TOURNEO COURIER JOURNEY-1.5L TDCI 100PS JOURNEY TREND EU6.2,2019,165029,570000,Eskişehir,data/processed_images/otokoc_car_20250130_141352_page_54_idx_4.jpg
Ford,Tourneo Courier Journey,1.5L Tdci 100Ps Journey Trend Eu6.2,FORD-TOURNEO COURIER JOURNEY-1.5L TDCI 100PS JOURNEY TREND EU6.2,2019,169316,600000,Eskişehir,data/processed_images/otokoc_car_20250130_141352_page_54_idx_5.jpg
Ford,Tourneo Courier Journey,1.5L Tdci 100Ps Journey Trend Eu6.2,FORD-TOURNEO COURIER JOURNEY-1.5L TDCI 100PS JOURNEY TREND EU6.2,2020,94592,760000,İstanbul,data/processed_images/otokoc_car_20250130_141352_page_54_idx_6.jpg
Volvo,S60,"B5 Awd 250Hp Plus, Bright","VOLVO-S60-B5 AWD 250HP PLUS, BRIGHT",2023,44103,2470000,Eskişehir,data/processed_images/otokoc_car_20250130_141352_page_54_idx_7.jpg
Ford,Tourneo Courier Journey,1.5L Tdci 100Ps Journey Titanium Eu6.2,FORD-TOURNEO COURIER JOURNEY-1.5L TDCI 100PS JOURNEY TITANIUM EU6.2,2020,139773,745000,İstanbul,data/processed_images/otokoc_car_20250130_141352_page_54_idx_8.jpg
Citroen,C,Elysee-Shine 1.5 Bluehdi 100Hp Eu6.2,CITROEN-C-ELYSEE-SHINE 1.5 BLUEHDI 100HP EU6.2,2020,113130,645000,Eskişehir,data/processed_images/otokoc_car_20250130_141352_page_54_idx_9.jpg
Fiat,Egea,1.3 Mjet Ii Ds 95 Hp Urban,FIAT-EGEA-1.3 MJET II DS 95 HP URBAN,2021,70524,715000,İzmir,data/processed_images/otokoc_car_20250130_141352_page_54_idx_10.jpg
