marka,seri,model,baslik,yil,km,fiyat,il_ilce,image_path
Volkswagen,T-Roc,1.5 Tsi 150Ps Style Dsg,Volkswagen T-roc 1.5 Tsi 150ps Style Dsg,2023,40360,1625000,Şanlıurfa,data/processed_images/car_20250130_130036_page_28_idx_6.jpg
Volkswagen,Taigo,1.0 Tsi 110Ps Style Dsg,Volkswagen Taigo 1.0 Tsi 110ps Style Dsg,2023,6144,1600000,İstanbul,data/processed_images/car_20250130_130036_page_28_idx_7.jpg
Volkswagen,Golf,1.0 Etsi 110Ps R-Line Dsg,Volkswagen Golf 1.0 Etsi 110ps R-line Dsg,2023,45502,1598750,İstanbul,data/processed_images/car_20250130_130036_page_28_idx_8.jpg
Volkswagen,T-Roc,1.5 Tsi 150Ps Style Dsg,Volkswagen T-roc 1.5 Tsi 150ps Style Dsg,2023,40040,1595000,Şanlıurfa,data/processed_images/car_20250130_130036_page_28_idx_9.jpg
Volkswagen,T-Roc,1.5 Tsi 150Ps Life Dsg,Volkswagen T-roc 1.5 Tsi 150ps Life Dsg,2023,35346,1575000,İstanbul,data/processed_images/car_20250130_130036_page_28_idx_10.jpg
Volkswagen,Golf,1.0 Etsi 110Ps Life Dsg,Volkswagen Golf 1.0 Etsi 110ps Life Dsg,2023,16900,1570000,Aydın,data/processed_images/car_20250130_130036_page_28_idx_11.jpg
Volkswagen,T-Roc,1.5 Tsi 150Ps Life Dsg,Volkswagen T-roc 1.5 Tsi 150ps Life Dsg,2023,19482,1560000,Kayseri,data/processed_images/car_20250130_130037_page_29_idx_0.jpg
Volkswagen,T-Roc,1.5 Tsi 150Ps Life Dsg,Volkswagen T-roc 1.5 Tsi 150ps Life Dsg,2023,33511,1537750,İstanbul,data/processed_images/car_20250130_130037_page_29_idx_1.jpg
Volkswagen,Taigo,1.0 Tsi 110Ps R-Line Dsg,Volkswagen Taigo 1.0 Tsi 110ps R-line Dsg,2023,28517,1525000,Kocaeli,data/processed_images/car_20250130_130037_page_29_idx_2.jpg
Volkswagen,Caddy,2.0 Tdi 122 Ps Style Dsg,Volkswagen Caddy 2.0 Tdi 122 Ps Style Dsg,2023,34714,1520000,İstanbul,data/processed_images/car_20250130_130037_page_29_idx_3.jpg
Volkswagen,Taigo,1.0 Tsi 110Ps R-Line Dsg,Volkswagen Taigo 1.0 Tsi 110ps R-line Dsg,2023,21685,1515900,İstanbul,data/processed_images/car_20250130_130037_page_29_idx_4.jpg
Volkswagen,Taigo,1.0 Tsi 110Ps R-Line Dsg,Volkswagen Taigo 1.0 Tsi 110ps R-line Dsg,2023,27000,1509000,Ankara,data/processed_images/car_20250130_130037_page_29_idx_5.jpg
Volkswagen,Passat Variant,1.5 Tsi Act 150 Ps Business Dsg,Volkswagen Passat Variant 1.5 Tsi Act 150 Ps Business Dsg,2023,49645,1489950,Samsun,data/processed_images/car_20250130_130037_page_29_idx_6.jpg
Volkswagen,Caddy,2.0 Tdi 122 Ps Style Dsg,Volkswagen Caddy 2.0 Tdi 122 Ps Style Dsg,2023,19942,1475000,İzmir,data/processed_images/car_20250130_130037_page_29_idx_7.jpg
Volkswagen,Transporter,2.0 Tdi 150 Hp Camlivan Swb Dsg. 1+4,Volkswagen Transporter 2.0 Tdi 150 Hp Camlivan Swb Dsg. 1+4,2023,32394,1470000,Ankara,data/processed_images/car_20250130_130037_page_29_idx_8.jpg
Volkswagen,T-Roc,1.5 Tsi 150Ps Life Dsg,Volkswagen T-roc 1.5 Tsi 150ps Life Dsg,2023,71515,1450000,Manisa,data/processed_images/car_20250130_130037_page_29_idx_9.jpg
Volkswagen,Golf,1.0 Etsi 110Ps Life Dsg,Volkswagen Golf 1.0 Etsi 110ps Life Dsg,2023,49198,1447500,İstanbul,data/processed_images/car_20250130_130037_page_29_idx_10.jpg
Volkswagen,T-Roc,1.5 Tsi 150Ps Life Dsg,Volkswagen T-roc 1.5 Tsi 150ps Life Dsg,2023,29135,1429900,İstanbul,data/processed_images/car_20250130_130037_page_29_idx_11.jpg
Volkswagen,T-Cross,1.0 Tsi 110Ps Style Dsg,Volkswagen T-cross 1.0 Tsi 110ps Style Dsg,2023,15439,1389900,İstanbul,data/processed_images/car_20250130_130038_page_30_idx_0.jpg
Volkswagen,Crafter,"2+1 Mwb Hr 140Ps 3,5T Comfortline","Volkswagen Crafter 2+1 Mwb Hr 140ps 3,5t Comfortline",2023,25000,1387900,İstanbul,data/processed_images/car_20250130_130038_page_30_idx_1.jpg
Volkswagen,Polo,1.0 Tsi 95 Ps Style Dsg,Volkswagen Polo 1.0 Tsi 95 Ps Style Dsg,2023,50800,1332900,İstanbul,data/processed_images/car_20250130_130038_page_30_idx_2.jpg
Volkswagen,Polo,1.0 Tsi 95 Ps Life Dsg,Volkswagen Polo 1.0 Tsi 95 Ps Life Dsg,2023,24355,1300000,Kayseri,data/processed_images/car_20250130_130038_page_30_idx_3.jpg
Volkswagen,T-Cross,1.0 Tsi 110Ps Life Dsg,Volkswagen T-cross 1.0 Tsi 110ps Life Dsg,2023,24250,1299000,Ankara,data/processed_images/car_20250130_130038_page_30_idx_4.jpg
